"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"860Z200US89010","ZCTA5 89010","109100","20817","null","null",
"860Z200US89019","ZCTA5 89019","190500","127306","null","null",
"860Z200US89060","ZCTA5 89060","166100","16474","null","null",
"860Z200US89061","ZCTA5 89061","259800","26815","null","null",
"860Z200US89439","ZCTA5 89439","508300","88445","null","null",
"860Z200US90001","ZCTA5 90001","425200","14135","null","null",
"860Z200US90002","ZCTA5 90002","411500","13599","null","null",
"860Z200US90003","ZCTA5 90003","430800","18268","null","null",
"860Z200US90004","ZCTA5 90004","1148400","70943","null","null",
"860Z200US90005","ZCTA5 90005","964700","114317","null","null",
"860Z200US90006","ZCTA5 90006","716900","37043","null","null",
"860Z200US90007","ZCTA5 90007","717300","74745","null","null",
"860Z200US90008","ZCTA5 90008","781600","43724","null","null",
"860Z200US90010","ZCTA5 90010","822100","145995","null","null",
"860Z200US90011","ZCTA5 90011","452100","10656","null","null",
"860Z200US90012","ZCTA5 90012","633000","49181","null","null",
"860Z200US90013","ZCTA5 90013","664800","66932","null","null",
"860Z200US90014","ZCTA5 90014","625000","83012","null","null",
"860Z200US90015","ZCTA5 90015","715000","88821","null","null",
"860Z200US90016","ZCTA5 90016","677500","22132","null","null",
"860Z200US90017","ZCTA5 90017","697100","94054","null","null",
"860Z200US90018","ZCTA5 90018","704300","26679","null","null",
"860Z200US90019","ZCTA5 90019","1033900","51962","null","null",
"860Z200US90020","ZCTA5 90020","650300","84313","null","null",
"860Z200US90021","ZCTA5 90021","1013900","426090","null","null",
"860Z200US90022","ZCTA5 90022","471000","10044","null","null",
"860Z200US90023","ZCTA5 90023","479600","15235","null","null",
"860Z200US90024","ZCTA5 90024","1231000","179188","null","null",
"860Z200US90025","ZCTA5 90025","905900","29805","null","null",
"860Z200US90026","ZCTA5 90026","962100","38965","null","null",
"860Z200US90027","ZCTA5 90027","1287200","116975","null","null",
"860Z200US90028","ZCTA5 90028","723000","73513","null","null",
"860Z200US90029","ZCTA5 90029","898400","57157","null","null",
"860Z200US90031","ZCTA5 90031","616900","21316","null","null",
"860Z200US90032","ZCTA5 90032","605400","12196","null","null",
"860Z200US90033","ZCTA5 90033","538900","28677","null","null",
"860Z200US90034","ZCTA5 90034","1152500","55720","null","null",
"860Z200US90035","ZCTA5 90035","1494600","195079","null","null",
"860Z200US90036","ZCTA5 90036","1634700","74613","null","null",
"860Z200US90037","ZCTA5 90037","502000","22605","null","null",
"860Z200US90038","ZCTA5 90038","945000","69237","null","null",
"860Z200US90039","ZCTA5 90039","972900","33237","null","null",
"860Z200US90040","ZCTA5 90040","452100","20965","null","null",
"860Z200US90041","ZCTA5 90041","886800","24442","null","null",
"860Z200US90042","ZCTA5 90042","731600","24011","null","null",
"860Z200US90043","ZCTA5 90043","684500","27953","null","null",
"860Z200US90044","ZCTA5 90044","461200","9256","null","null",
"860Z200US90045","ZCTA5 90045","1103500","34207","null","null",
"860Z200US90046","ZCTA5 90046","1290400","113379","null","null",
"860Z200US90047","ZCTA5 90047","519400","19411","null","null",
"860Z200US90048","ZCTA5 90048","1441200","189868","null","null",
"860Z200US90049","ZCTA5 90049","2,000,000+","***","***","2,000,000+",
"860Z200US90052","ZCTA5 90052","-","**","**","-",
"860Z200US90056","ZCTA5 90056","1114900","98437","null","null",
"860Z200US90057","ZCTA5 90057","576200","83284","null","null",
"860Z200US90058","ZCTA5 90058","419600","65126","null","null",
"860Z200US90059","ZCTA5 90059","415100","14554","null","null",
"860Z200US90061","ZCTA5 90061","438800","27843","null","null",
"860Z200US90062","ZCTA5 90062","550600","17488","null","null",
"860Z200US90063","ZCTA5 90063","481100","11436","null","null",
"860Z200US90064","ZCTA5 90064","1388300","97218","null","null",
"860Z200US90065","ZCTA5 90065","833400","21642","null","null",
"860Z200US90066","ZCTA5 90066","1282100","74880","null","null",
"860Z200US90067","ZCTA5 90067","1344900","385349","null","null",
"860Z200US90068","ZCTA5 90068","1500800","95618","null","null",
"860Z200US90069","ZCTA5 90069","890100","119507","null","null",
"860Z200US90071","ZCTA5 90071","-","**","**","-",
"860Z200US90073","ZCTA5 90073","-","**","**","-",
"860Z200US90077","ZCTA5 90077","2,000,000+","***","***","2,000,000+",
"860Z200US90079","ZCTA5 90079","-","**","**","-",
"860Z200US90089","ZCTA5 90089","-","**","**","-",
"860Z200US90094","ZCTA5 90094","1132000","106145","null","null",
"860Z200US90095","ZCTA5 90095","-","**","**","-",
"860Z200US90201","ZCTA5 90201","440500","9815","null","null",
"860Z200US90210","ZCTA5 90210","2,000,000+","***","***","2,000,000+",
"860Z200US90211","ZCTA5 90211","2,000,000+","***","***","2,000,000+",
"860Z200US90212","ZCTA5 90212","2,000,000+","***","***","2,000,000+",
"860Z200US90220","ZCTA5 90220","394900","12870","null","null",
"860Z200US90221","ZCTA5 90221","412600","11577","null","null",
"860Z200US90222","ZCTA5 90222","420700","17159","null","null",
"860Z200US90230","ZCTA5 90230","849200","50253","null","null",
"860Z200US90232","ZCTA5 90232","1219100","86886","null","null",
"860Z200US90240","ZCTA5 90240","646900","14585","null","null",
"860Z200US90241","ZCTA5 90241","627700","13295","null","null",
"860Z200US90242","ZCTA5 90242","557700","23009","null","null",
"860Z200US90245","ZCTA5 90245","1244200","79031","null","null",
"860Z200US90247","ZCTA5 90247","540800","20003","null","null",
"860Z200US90248","ZCTA5 90248","571200","28987","null","null",
"860Z200US90249","ZCTA5 90249","584000","14234","null","null",
"860Z200US90250","ZCTA5 90250","661400","13196","null","null",
"860Z200US90254","ZCTA5 90254","1674500","63806","null","null",
"860Z200US90255","ZCTA5 90255","455000","10278","null","null",
"860Z200US90260","ZCTA5 90260","597300","20814","null","null",
"860Z200US90262","ZCTA5 90262","449600","7435","null","null",
"860Z200US90263","ZCTA5 90263","-","**","**","-",
"860Z200US90265","ZCTA5 90265","2,000,000+","***","***","2,000,000+",
"860Z200US90266","ZCTA5 90266","2,000,000+","***","***","2,000,000+",
"860Z200US90270","ZCTA5 90270","481800","33382","null","null",
"860Z200US90272","ZCTA5 90272","2,000,000+","***","***","2,000,000+",
"860Z200US90274","ZCTA5 90274","1757700","99593","null","null",
"860Z200US90275","ZCTA5 90275","1247000","37743","null","null",
"860Z200US90277","ZCTA5 90277","1143800","47349","null","null",
"860Z200US90278","ZCTA5 90278","992600","39488","null","null",
"860Z200US90280","ZCTA5 90280","470200","7375","null","null",
"860Z200US90290","ZCTA5 90290","1184900","105726","null","null",
"860Z200US90291","ZCTA5 90291","1899800","140715","null","null",
"860Z200US90292","ZCTA5 90292","1076900","72036","null","null",
"860Z200US90293","ZCTA5 90293","899000","100849","null","null",
"860Z200US90301","ZCTA5 90301","547900","38916","null","null",
"860Z200US90302","ZCTA5 90302","590000","31516","null","null",
"860Z200US90303","ZCTA5 90303","606100","19608","null","null",
"860Z200US90304","ZCTA5 90304","586600","32999","null","null",
"860Z200US90305","ZCTA5 90305","646500","18061","null","null",
"860Z200US90401","ZCTA5 90401","1393800","1176647","null","null",
"860Z200US90402","ZCTA5 90402","2,000,000+","***","***","2,000,000+",
"860Z200US90403","ZCTA5 90403","1523400","132239","null","null",
"860Z200US90404","ZCTA5 90404","922900","49368","null","null",
"860Z200US90405","ZCTA5 90405","1430800","155159","null","null",
"860Z200US90501","ZCTA5 90501","724900","21318","null","null",
"860Z200US90502","ZCTA5 90502","520700","31520","null","null",
"860Z200US90503","ZCTA5 90503","861000","13463","null","null",
"860Z200US90504","ZCTA5 90504","712300","20836","null","null",
"860Z200US90505","ZCTA5 90505","916100","18403","null","null",
"860Z200US90506","ZCTA5 90506","-","**","**","-",
"860Z200US90601","ZCTA5 90601","626500","13508","null","null",
"860Z200US90602","ZCTA5 90602","601600","15543","null","null",
"860Z200US90603","ZCTA5 90603","649600","11668","null","null",
"860Z200US90604","ZCTA5 90604","591400","8287","null","null",
"860Z200US90605","ZCTA5 90605","556000","15421","null","null",
"860Z200US90606","ZCTA5 90606","509600","21096","null","null",
"860Z200US90620","ZCTA5 90620","622700","8162","null","null",
"860Z200US90621","ZCTA5 90621","643200","26117","null","null",
"860Z200US90623","ZCTA5 90623","739200","27397","null","null",
"860Z200US90630","ZCTA5 90630","700100","15771","null","null",
"860Z200US90631","ZCTA5 90631","628900","10291","null","null",
"860Z200US90638","ZCTA5 90638","630100","5754","null","null",
"860Z200US90639","ZCTA5 90639","-","**","**","-",
"860Z200US90640","ZCTA5 90640","558600","13658","null","null",
"860Z200US90650","ZCTA5 90650","487800","6959","null","null",
"860Z200US90660","ZCTA5 90660","490300","8835","null","null",
"860Z200US90670","ZCTA5 90670","492100","10713","null","null",
"860Z200US90680","ZCTA5 90680","472800","18204","null","null",
"860Z200US90701","ZCTA5 90701","635000","38098","null","null",
"860Z200US90703","ZCTA5 90703","762700","15807","null","null",
"860Z200US90704","ZCTA5 90704","863800","354609","null","null",
"860Z200US90706","ZCTA5 90706","535300","17855","null","null",
"860Z200US90710","ZCTA5 90710","523400","28309","null","null",
"860Z200US90712","ZCTA5 90712","622800","7630","null","null",
"860Z200US90713","ZCTA5 90713","638600","6627","null","null",
"860Z200US90715","ZCTA5 90715","555400","21100","null","null",
"860Z200US90716","ZCTA5 90716","442000","26877","null","null",
"860Z200US90717","ZCTA5 90717","649400","20227","null","null",
"860Z200US90720","ZCTA5 90720","1004200","33582","null","null",
"860Z200US90723","ZCTA5 90723","411900","17150","null","null",
"860Z200US90731","ZCTA5 90731","657700","14492","null","null",
"860Z200US90732","ZCTA5 90732","657400","21429","null","null",
"860Z200US90740","ZCTA5 90740","442000","39113","null","null",
"860Z200US90742","ZCTA5 90742","1140400","90357","null","null",
"860Z200US90743","ZCTA5 90743","2,000,000+","***","***","2,000,000+",
"860Z200US90744","ZCTA5 90744","471000","15099","null","null",
"860Z200US90745","ZCTA5 90745","516000","16957","null","null",
"860Z200US90746","ZCTA5 90746","585600","13241","null","null",
"860Z200US90747","ZCTA5 90747","-","**","**","-",
"860Z200US90755","ZCTA5 90755","553100","66350","null","null",
"860Z200US90802","ZCTA5 90802","460300","26383","null","null",
"860Z200US90803","ZCTA5 90803","943000","43622","null","null",
"860Z200US90804","ZCTA5 90804","541000","35472","null","null",
"860Z200US90805","ZCTA5 90805","469100","7220","null","null",
"860Z200US90806","ZCTA5 90806","568400","14451","null","null",
"860Z200US90807","ZCTA5 90807","661100","20849","null","null",
"860Z200US90808","ZCTA5 90808","708300","11936","null","null",
"860Z200US90810","ZCTA5 90810","464500","9602","null","null",
"860Z200US90813","ZCTA5 90813","430500","25785","null","null",
"860Z200US90814","ZCTA5 90814","738900","72739","null","null",
"860Z200US90815","ZCTA5 90815","701600","16595","null","null",
"860Z200US90822","ZCTA5 90822","-","**","**","-",
"860Z200US90831","ZCTA5 90831","-","**","**","-",
"860Z200US90840","ZCTA5 90840","-","**","**","-",
"860Z200US91001","ZCTA5 91001","887100","27617","null","null",
"860Z200US91006","ZCTA5 91006","1074000","42269","null","null",
"860Z200US91007","ZCTA5 91007","1056600","76778","null","null",
"860Z200US91008","ZCTA5 91008","1414100","466794","null","null",
"860Z200US91010","ZCTA5 91010","560900","21040","null","null",
"860Z200US91011","ZCTA5 91011","1671000","52109","null","null",
"860Z200US91016","ZCTA5 91016","707400","23944","null","null",
"860Z200US91020","ZCTA5 91020","719600","86584","null","null",
"860Z200US91024","ZCTA5 91024","1048300","42646","null","null",
"860Z200US91030","ZCTA5 91030","1174400","55321","null","null",
"860Z200US91040","ZCTA5 91040","638100","14264","null","null",
"860Z200US91042","ZCTA5 91042","617400","16239","null","null",
"860Z200US91046","ZCTA5 91046","-","**","**","-",
"860Z200US91101","ZCTA5 91101","615200","29904","null","null",
"860Z200US91103","ZCTA5 91103","780200","48106","null","null",
"860Z200US91104","ZCTA5 91104","836500","24363","null","null",
"860Z200US91105","ZCTA5 91105","1306200","131454","null","null",
"860Z200US91106","ZCTA5 91106","811200","69220","null","null",
"860Z200US91107","ZCTA5 91107","913700","27325","null","null",
"860Z200US91108","ZCTA5 91108","2,000,000+","***","***","2,000,000+",
"860Z200US91125","ZCTA5 91125","-","**","**","-",
"860Z200US91201","ZCTA5 91201","916000","38650","null","null",
"860Z200US91202","ZCTA5 91202","876700","69520","null","null",
"860Z200US91203","ZCTA5 91203","592600","30155","null","null",
"860Z200US91204","ZCTA5 91204","561800","71482","null","null",
"860Z200US91205","ZCTA5 91205","677200","46938","null","null",
"860Z200US91206","ZCTA5 91206","910500","66449","null","null",
"860Z200US91207","ZCTA5 91207","1092700","60766","null","null",
"860Z200US91208","ZCTA5 91208","1054700","59817","null","null",
"860Z200US91210","ZCTA5 91210","-","**","**","-",
"860Z200US91214","ZCTA5 91214","851700","26997","null","null",
"860Z200US91301","ZCTA5 91301","871000","30420","null","null",
"860Z200US91302","ZCTA5 91302","1341400","104117","null","null",
"860Z200US91303","ZCTA5 91303","536400","36794","null","null",
"860Z200US91304","ZCTA5 91304","677700","15534","null","null",
"860Z200US91306","ZCTA5 91306","592400","9160","null","null",
"860Z200US91307","ZCTA5 91307","714600","19558","null","null",
"860Z200US91311","ZCTA5 91311","679000","13678","null","null",
"860Z200US91316","ZCTA5 91316","724500","36349","null","null",
"860Z200US91320","ZCTA5 91320","755800","25350","null","null",
"860Z200US91321","ZCTA5 91321","513500","35224","null","null",
"860Z200US91324","ZCTA5 91324","680200","16379","null","null",
"860Z200US91325","ZCTA5 91325","720900","27640","null","null",
"860Z200US91326","ZCTA5 91326","846700","15066","null","null",
"860Z200US91330","ZCTA5 91330","-","**","**","-",
"860Z200US91331","ZCTA5 91331","487600","7880","null","null",
"860Z200US91335","ZCTA5 91335","580500","9577","null","null",
"860Z200US91340","ZCTA5 91340","515000","23664","null","null",
"860Z200US91342","ZCTA5 91342","520900","14801","null","null",
"860Z200US91343","ZCTA5 91343","608500","9444","null","null",
"860Z200US91344","ZCTA5 91344","690300","11199","null","null",
"860Z200US91345","ZCTA5 91345","558000","21106","null","null",
"860Z200US91350","ZCTA5 91350","605800","10557","null","null",
"860Z200US91351","ZCTA5 91351","471900","18269","null","null",
"860Z200US91352","ZCTA5 91352","584100","11287","null","null",
"860Z200US91354","ZCTA5 91354","648600","9234","null","null",
"860Z200US91355","ZCTA5 91355","600200","13954","null","null",
"860Z200US91356","ZCTA5 91356","1023000","46716","null","null",
"860Z200US91360","ZCTA5 91360","735100","24617","null","null",
"860Z200US91361","ZCTA5 91361","1042900","50259","null","null",
"860Z200US91362","ZCTA5 91362","878300","22254","null","null",
"860Z200US91364","ZCTA5 91364","949000","23237","null","null",
"860Z200US91367","ZCTA5 91367","786200","34245","null","null",
"860Z200US91371","ZCTA5 91371","-","**","**","-",
