"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"8600000US89010","ZCTA5 89010","118800","69934","null","null",
"8600000US89019","ZCTA5 89019","116200","16863","null","null",
"8600000US89060","ZCTA5 89060","118500","16277","null","null",
"8600000US89061","ZCTA5 89061","151300","11637","null","null",
"8600000US89439","ZCTA5 89439","184800","92170","null","null",
"8600000US90001","ZCTA5 90001","263100","16063","null","null",
"8600000US90002","ZCTA5 90002","238300","12455","null","null",
"8600000US90003","ZCTA5 90003","248400","11451","null","null",
"8600000US90004","ZCTA5 90004","818400","40792","null","null",
"8600000US90005","ZCTA5 90005","664400","71960","null","null",
"8600000US90006","ZCTA5 90006","423600","38955","null","null",
"8600000US90007","ZCTA5 90007","408100","38537","null","null",
"8600000US90008","ZCTA5 90008","478700","19735","null","null",
"8600000US90010","ZCTA5 90010","562100","107746","null","null",
"8600000US90011","ZCTA5 90011","291100","13969","null","null",
"8600000US90012","ZCTA5 90012","402400","38920","null","null",
"8600000US90013","ZCTA5 90013","315300","75198","null","null",
"8600000US90014","ZCTA5 90014","334700","101460","null","null",
"8600000US90015","ZCTA5 90015","441000","21480","null","null",
"8600000US90016","ZCTA5 90016","371500","13466","null","null",
"8600000US90017","ZCTA5 90017","433000","87484","null","null",
"8600000US90018","ZCTA5 90018","366300","19988","null","null",
"8600000US90019","ZCTA5 90019","631300","26290","null","null",
"8600000US90020","ZCTA5 90020","564400","137910","null","null",
"8600000US90021","ZCTA5 90021","458000","69187","null","null",
"8600000US90022","ZCTA5 90022","315900","13067","null","null",
"8600000US90023","ZCTA5 90023","307300","19092","null","null",
"8600000US90024","ZCTA5 90024","1,000,000+","***","***","1,000,000+",
"8600000US90025","ZCTA5 90025","664000","19043","null","null",
"8600000US90026","ZCTA5 90026","563100","27420","null","null",
"8600000US90027","ZCTA5 90027","803900","49015","null","null",
"8600000US90028","ZCTA5 90028","593300","105423","null","null",
"8600000US90029","ZCTA5 90029","492000","43253","null","null",
"8600000US90031","ZCTA5 90031","357900","10222","null","null",
"8600000US90032","ZCTA5 90032","338400","9223","null","null",
"8600000US90033","ZCTA5 90033","326500","27873","null","null",
"8600000US90034","ZCTA5 90034","664600","20302","null","null",
"8600000US90035","ZCTA5 90035","862800","37436","null","null",
"8600000US90036","ZCTA5 90036","957100","47626","null","null",
"8600000US90037","ZCTA5 90037","282000","14906","null","null",
"8600000US90038","ZCTA5 90038","577400","51312","null","null",
"8600000US90039","ZCTA5 90039","619100","19772","null","null",
"8600000US90040","ZCTA5 90040","345400","18869","null","null",
"8600000US90041","ZCTA5 90041","550000","16783","null","null",
"8600000US90042","ZCTA5 90042","394800","12111","null","null",
"8600000US90043","ZCTA5 90043","381600","13766","null","null",
"8600000US90044","ZCTA5 90044","296400","11421","null","null",
"8600000US90045","ZCTA5 90045","685300","12205","null","null",
"8600000US90046","ZCTA5 90046","880700","46883","null","null",
"8600000US90047","ZCTA5 90047","306300","12275","null","null",
"8600000US90048","ZCTA5 90048","960100","48731","null","null",
"8600000US90049","ZCTA5 90049","1,000,000+","***","***","1,000,000+",
"8600000US90056","ZCTA5 90056","749800","56258","null","null",
"8600000US90057","ZCTA5 90057","301100","37463","null","null",
"8600000US90058","ZCTA5 90058","182900","16581","null","null",
"8600000US90059","ZCTA5 90059","244000","13155","null","null",
"8600000US90061","ZCTA5 90061","265600","17767","null","null",
"8600000US90062","ZCTA5 90062","291500","20965","null","null",
"8600000US90063","ZCTA5 90063","292500","12688","null","null",
"8600000US90064","ZCTA5 90064","897400","28487","null","null",
"8600000US90065","ZCTA5 90065","469900","14168","null","null",
"8600000US90066","ZCTA5 90066","738400","20208","null","null",
"8600000US90067","ZCTA5 90067","930200","89553","null","null",
"8600000US90068","ZCTA5 90068","964200","51841","null","null",
"8600000US90069","ZCTA5 90069","722300","43178","null","null",
"8600000US90071","ZCTA5 90071","-","**","**","-",
"8600000US90073","ZCTA5 90073","-","**","**","-",
"8600000US90077","ZCTA5 90077","1,000,000+","***","***","1,000,000+",
"8600000US90079","ZCTA5 90079","-","**","**","-",
"8600000US90089","ZCTA5 90089","-","**","**","-",
"8600000US90090","ZCTA5 90090","-","**","**","-",
"8600000US90094","ZCTA5 90094","635200","55777","null","null",
"8600000US90095","ZCTA5 90095","-","**","**","-",
"8600000US90201","ZCTA5 90201","279700","12488","null","null",
"8600000US90210","ZCTA5 90210","1,000,000+","***","***","1,000,000+",
"8600000US90211","ZCTA5 90211","1,000,000+","***","***","1,000,000+",
"8600000US90212","ZCTA5 90212","1,000,000+","***","***","1,000,000+",
"8600000US90220","ZCTA5 90220","243800","10141","null","null",
"8600000US90221","ZCTA5 90221","248100","10813","null","null",
"8600000US90222","ZCTA5 90222","243100","8942","null","null",
"8600000US90230","ZCTA5 90230","552600","16297","null","null",
"8600000US90232","ZCTA5 90232","753300","38115","null","null",
"8600000US90240","ZCTA5 90240","460900","16109","null","null",
"8600000US90241","ZCTA5 90241","453400","18271","null","null",
"8600000US90242","ZCTA5 90242","388800","12048","null","null",
"8600000US90245","ZCTA5 90245","765500","37605","null","null",
