"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"8600000US91046","ZCTA5 91046","-","-","**","**",
"8600000US91101","ZCTA5 91101","452300","null","25033","null",
"8600000US91103","ZCTA5 91103","598900","null","27725","null",
"8600000US91104","ZCTA5 91104","622000","null","15508","null",
"8600000US91105","ZCTA5 91105","911900","null","35685","null",
"8600000US91106","ZCTA5 91106","601600","null","46667","null",
"8600000US91107","ZCTA5 91107","711400","null","20167","null",
"8600000US91108","ZCTA5 91108","1489700","null","127757","null",
"8600000US91201","ZCTA5 91201","639800","null","23385","null",
"8600000US91202","ZCTA5 91202","656100","null","25475","null",
"8600000US91203","ZCTA5 91203","428600","null","29237","null",
"8600000US91204","ZCTA5 91204","435500","null","44548","null",
"8600000US91205","ZCTA5 91205","467900","null","30406","null",
"8600000US91206","ZCTA5 91206","650900","null","30642","null",
"8600000US91207","ZCTA5 91207","858000","null","31258","null",
"8600000US91208","ZCTA5 91208","759700","null","41478","null",
"8600000US91210","ZCTA5 91210","578700","null","186723","null",
"8600000US91214","ZCTA5 91214","640300","null","14403","null",
"8600000US91301","ZCTA5 91301","706400","null","31318","null",
"8600000US91302","ZCTA5 91302","1073500","null","54494","null",
"8600000US91303","ZCTA5 91303","366600","null","13924","null",
"8600000US91304","ZCTA5 91304","492300","null","14743","null",
"8600000US91306","ZCTA5 91306","416600","null","7604","null",
"8600000US91307","ZCTA5 91307","578600","null","15208","null",
"8600000US91311","ZCTA5 91311","489100","null","15941","null",
"8600000US91316","ZCTA5 91316","607200","null","25363","null",
"8600000US91320","ZCTA5 91320","619100","null","9722","null",
"8600000US91321","ZCTA5 91321","380300","null","19019","null",
"8600000US91324","ZCTA5 91324","497700","null","21327","null",
"8600000US91325","ZCTA5 91325","555100","null","19953","null",
"8600000US91326","ZCTA5 91326","648400","null","8367","null",
"8600000US91330","ZCTA5 91330","-","-","**","**",
"8600000US91331","ZCTA5 91331","329800","null","4646","null",
"8600000US91335","ZCTA5 91335","389200","null","8366","null",
"8600000US91340","ZCTA5 91340","338400","null","7838","null",
"8600000US91342","ZCTA5 91342","365200","null","6688","null",
"8600000US91343","ZCTA5 91343","427600","null","6901","null",
"8600000US91344","ZCTA5 91344","506900","null","13165","null",
"8600000US91345","ZCTA5 91345","360000","null","9123","null",
"8600000US91350","ZCTA5 91350","432300","null","6465","null",
"8600000US91351","ZCTA5 91351","339000","null","10577","null",
"8600000US91352","ZCTA5 91352","381300","null","8609","null",
"8600000US91354","ZCTA5 91354","494800","null","10434","null",
"8600000US91355","ZCTA5 91355","458400","null","11412","null",
"8600000US91356","ZCTA5 91356","781700","null","43130","null",
"8600000US91360","ZCTA5 91360","597800","null","8238","null",
"8600000US91361","ZCTA5 91361","832600","null","24043","null",
"8600000US91362","ZCTA5 91362","704000","null","19365","null",
"8600000US91364","ZCTA5 91364","699400","null","16310","null",
"8600000US91367","ZCTA5 91367","593900","null","14801","null",
"8600000US91371","ZCTA5 91371","-","-","**","**",
"8600000US91377","ZCTA5 91377","688300","null","30359","null",
"8600000US91381","ZCTA5 91381","616900","null","20772","null",
"8600000US91384","ZCTA5 91384","420000","null","10352","null",
"8600000US91387","ZCTA5 91387","414100","null","12304","null",
"8600000US91390","ZCTA5 91390","508100","null","20492","null",
"8600000US91401","ZCTA5 91401","568100","null","18949","null",
"8600000US91402","ZCTA5 91402","317100","null","8628","null",
"8600000US91403","ZCTA5 91403","804900","null","44505","null",
"8600000US91405","ZCTA5 91405","387100","null","13282","null",
"8600000US91406","ZCTA5 91406","424100","null","11264","null",
"8600000US91411","ZCTA5 91411","524500","null","28607","null",
"8600000US91423","ZCTA5 91423","803400","null","33478","null",
"8600000US91436","ZCTA5 91436","1062800","null","45813","null",
"8600000US91501","ZCTA5 91501","651900","null","45729","null",
"8600000US91502","ZCTA5 91502","395600","null","78949","null",
"8600000US91504","ZCTA5 91504","607500","null","18991","null",
"8600000US91505","ZCTA5 91505","594400","null","12923","null",
"8600000US91506","ZCTA5 91506","609100","null","12768","null",
