"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"8600000US89010","ZCTA5 89010","119700","null","31730","null",
"8600000US89019","ZCTA5 89019","92500","null","32587","null",
"8600000US89060","ZCTA5 89060","118200","null","9205","null",
"8600000US89061","ZCTA5 89061","169300","null","16809","null",
"8600000US89439","ZCTA5 89439","296800","null","90638","null",
"8600000US90001","ZCTA5 90001","305500","null","13584","null",
"8600000US90002","ZCTA5 90002","272400","null","10278","null",
"8600000US90003","ZCTA5 90003","300700","null","11346","null",
"8600000US90004","ZCTA5 90004","918500","null","74564","null",
"8600000US90005","ZCTA5 90005","713400","null","43234","null",
"8600000US90006","ZCTA5 90006","530500","null","33449","null",
"8600000US90007","ZCTA5 90007","523500","null","53375","null",
"8600000US90008","ZCTA5 90008","566000","null","33694","null",
"8600000US90010","ZCTA5 90010","816300","null","115625","null",
"8600000US90011","ZCTA5 90011","328500","null","7816","null",
"8600000US90012","ZCTA5 90012","465100","null","29026","null",
"8600000US90013","ZCTA5 90013","531900","null","64687","null",
"8600000US90014","ZCTA5 90014","417200","null","102100","null",
"8600000US90015","ZCTA5 90015","617400","null","38131","null",
"8600000US90016","ZCTA5 90016","458100","null","19569","null",
"8600000US90017","ZCTA5 90017","589300","null","71389","null",
"8600000US90018","ZCTA5 90018","454900","null","15361","null",
"8600000US90019","ZCTA5 90019","774600","null","42678","null",
"8600000US90020","ZCTA5 90020","623200","null","92928","null",
"8600000US90021","ZCTA5 90021","915000","null","398200","null",
"8600000US90022","ZCTA5 90022","349600","null","5173","null",
"8600000US90023","ZCTA5 90023","355200","null","12379","null",
"8600000US90024","ZCTA5 90024","1098000","null","79882","null",
"8600000US90025","ZCTA5 90025","756200","null","34146","null",
"8600000US90026","ZCTA5 90026","715100","null","30712","null",
"8600000US90027","ZCTA5 90027","959600","null","51392","null",
"8600000US90028","ZCTA5 90028","649200","null","46392","null",
"8600000US90029","ZCTA5 90029","608000","null","29644","null",
"8600000US90031","ZCTA5 90031","432800","null","20594","null",
"8600000US90032","ZCTA5 90032","419900","null","9119","null",
"8600000US90033","ZCTA5 90033","356900","null","14809","null",
"8600000US90034","ZCTA5 90034","780200","null","39799","null",
"8600000US90035","ZCTA5 90035","961200","null","52347","null",
"8600000US90036","ZCTA5 90036","1153400","null","63479","null",
"8600000US90037","ZCTA5 90037","326400","null","15419","null",
"8600000US90038","ZCTA5 90038","674300","null","59807","null",
"8600000US90039","ZCTA5 90039","717800","null","23228","null",
"8600000US90040","ZCTA5 90040","356600","null","10238","null",
"8600000US90041","ZCTA5 90041","647700","null","19585","null",
"8600000US90042","ZCTA5 90042","500300","null","16934","null",
"8600000US90043","ZCTA5 90043","438200","null","24228","null",
"8600000US90044","ZCTA5 90044","326600","null","8124","null",
"8600000US90045","ZCTA5 90045","840800","null","17881","null",
"8600000US90046","ZCTA5 90046","1047200","null","68508","null",
"8600000US90047","ZCTA5 90047","351500","null","6347","null",
"8600000US90048","ZCTA5 90048","1078000","null","93394","null",
"8600000US90049","ZCTA5 90049","1914900","null","142670","null",
"8600000US90056","ZCTA5 90056","864600","null","41463","null",
"8600000US90057","ZCTA5 90057","378300","null","53918","null",
"8600000US90058","ZCTA5 90058","321700","null","39518","null",
"8600000US90059","ZCTA5 90059","286700","null","11356","null",
"8600000US90061","ZCTA5 90061","298200","null","13853","null",
"8600000US90062","ZCTA5 90062","357600","null","13957","null",
"8600000US90063","ZCTA5 90063","350400","null","5970","null",
"8600000US90064","ZCTA5 90064","1052100","null","49499","null",
"8600000US90065","ZCTA5 90065","604600","null","14464","null",
"8600000US90066","ZCTA5 90066","911400","null","21397","null",
"8600000US90067","ZCTA5 90067","1066900","null","93226","null",
