"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"8600000US94922","ZCTA5 94922","657900","238658","null","null",
"8600000US94923","ZCTA5 94923","662700","207620","null","null",
"8600000US94924","ZCTA5 94924","818000","152682","null","null",
"8600000US94925","ZCTA5 94925","878000","34054","null","null",
"8600000US94928","ZCTA5 94928","300400","10824","null","null",
"8600000US94929","ZCTA5 94929","478600","686219","null","null",
"8600000US94930","ZCTA5 94930","684700","26407","null","null",
"8600000US94931","ZCTA5 94931","387600","26833","null","null",
"8600000US94933","ZCTA5 94933","600200","97544","null","null",
"8600000US94937","ZCTA5 94937","1,000,000+","***","***","1,000,000+",
"8600000US94938","ZCTA5 94938","711400","101973","null","null",
"8600000US94939","ZCTA5 94939","1,000,000+","***","***","1,000,000+",
"8600000US94940","ZCTA5 94940","728400","622896","null","null",
"8600000US94941","ZCTA5 94941","1,000,000+","***","***","1,000,000+",
"8600000US94945","ZCTA5 94945","619200","28256","null","null",
"8600000US94946","ZCTA5 94946","1,000,000+","***","***","1,000,000+",
"8600000US94947","ZCTA5 94947","570600","22476","null","null",
"8600000US94949","ZCTA5 94949","573800","27611","null","null",
"8600000US94950","ZCTA5 94950","760400","168372","null","null",
"8600000US94951","ZCTA5 94951","768200","79421","null","null",
"8600000US94952","ZCTA5 94952","546300","21403","null","null",
"8600000US94954","ZCTA5 94954","413100","12248","null","null",
"8600000US94956","ZCTA5 94956","835300","162563","null","null",
"8600000US94957","ZCTA5 94957","1,000,000+","***","***","1,000,000+",
"8600000US94960","ZCTA5 94960","895200","30526","null","null",
"8600000US94963","ZCTA5 94963","857100","164305","null","null",
"8600000US94964","ZCTA5 94964","-","**","**","-",
"8600000US94965","ZCTA5 94965","938100","92623","null","null",
"8600000US94970","ZCTA5 94970","1,000,000+","***","***","1,000,000+",
"8600000US94971","ZCTA5 94971","723200","148630","null","null",
"8600000US94972","ZCTA5 94972","-","**","**","-",
"8600000US94973","ZCTA5 94973","704400","81252","null","null",
"8600000US95002","ZCTA5 95002","411600","126018","null","null",
"8600000US95003","ZCTA5 95003","656700","14828","null","null",
"8600000US95004","ZCTA5 95004","408500","46058","null","null",
"8600000US95005","ZCTA5 95005","553200","34201","null","null",
"8600000US95006","ZCTA5 95006","441000","35180","null","null",
"8600000US95007","ZCTA5 95007","534200","303520","null","null",
"8600000US95008","ZCTA5 95008","658700","12450","null","null",
"8600000US95010","ZCTA5 95010","473700","72852","null","null",
"8600000US95012","ZCTA5 95012","246800","20675","null","null",
"8600000US95013","ZCTA5 95013","-","**","**","-",
"8600000US95014","ZCTA5 95014","1,000,000+","***","***","1,000,000+",
"8600000US95017","ZCTA5 95017","633900","46104","null","null",
"8600000US95018","ZCTA5 95018","460200","27932","null","null",
"8600000US95019","ZCTA5 95019","273700","38295","null","null",
"8600000US95020","ZCTA5 95020","463000","9449","null","null",
"8600000US95023","ZCTA5 95023","338300","12003","null","null",
"8600000US95030","ZCTA5 95030","1,000,000+","***","***","1,000,000+",
"8600000US95032","ZCTA5 95032","1,000,000+","***","***","1,000,000+",
"8600000US95033","ZCTA5 95033","841900","30467","null","null",
"8600000US95035","ZCTA5 95035","513400","14428","null","null",
"8600000US95037","ZCTA5 95037","606900","17715","null","null",
"8600000US95039","ZCTA5 95039","294400","110369","null","null",
"8600000US95041","ZCTA5 95041","460000","93457","null","null",
"8600000US95043","ZCTA5 95043","366700","169941","null","null",
"8600000US95045","ZCTA5 95045","384800","57146","null","null",
"8600000US95046","ZCTA5 95046","687400","44051","null","null",
"8600000US95050","ZCTA5 95050","601400","12586","null","null",
"8600000US95051","ZCTA5 95051","619600","9014","null","null",
"8600000US95053","ZCTA5 95053","800000","208719","null","null",
"8600000US95054","ZCTA5 95054","605900","21410","null","null",
"8600000US95060","ZCTA5 95060","673400","21011","null","null",
"8600000US95062","ZCTA5 95062","561400","21850","null","null",
"8600000US95064","ZCTA5 95064","279200","47045","null","null",
