"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"8600000US89010","ZCTA5 89010","141300","38227","null","null",
"8600000US89019","ZCTA5 89019","115700","24623","null","null",
"8600000US89060","ZCTA5 89060","141200","25799","null","null",
"8600000US89061","ZCTA5 89061","162700","11688","null","null",
"8600000US89439","ZCTA5 89439","240000","259843","null","null",
"8600000US90001","ZCTA5 90001","309400","18100","null","null",
"8600000US90002","ZCTA5 90002","289300","24426","null","null",
"8600000US90003","ZCTA5 90003","303000","17799","null","null",
"8600000US90004","ZCTA5 90004","844800","37540","null","null",
"8600000US90005","ZCTA5 90005","653700","79374","null","null",
"8600000US90006","ZCTA5 90006","516400","44400","null","null",
"8600000US90007","ZCTA5 90007","445100","34825","null","null",
"8600000US90008","ZCTA5 90008","543200","31590","null","null",
"8600000US90010","ZCTA5 90010","567100","146214","null","null",
"8600000US90011","ZCTA5 90011","349100","14646","null","null",
"8600000US90012","ZCTA5 90012","419600","36842","null","null",
"8600000US90013","ZCTA5 90013","285000","66844","null","null",
"8600000US90014","ZCTA5 90014","326900","136787","null","null",
"8600000US90015","ZCTA5 90015","455800","29829","null","null",
"8600000US90016","ZCTA5 90016","417300","17802","null","null",
"8600000US90017","ZCTA5 90017","484300","111796","null","null",
"8600000US90018","ZCTA5 90018","409300","28761","null","null",
"8600000US90019","ZCTA5 90019","650600","24951","null","null",
"8600000US90020","ZCTA5 90020","555200","124931","null","null",
"8600000US90021","ZCTA5 90021","489100","114129","null","null",
"8600000US90022","ZCTA5 90022","345700","13286","null","null",
"8600000US90023","ZCTA5 90023","339400","17037","null","null",
"8600000US90024","ZCTA5 90024","1,000,000+","***","***","1,000,000+",
"8600000US90025","ZCTA5 90025","689200","22359","null","null",
